question_id,gold,majority_answer,majority_correct,oracle_correct,min_id,min_correct,min_steps,product_id,product_correct,product_steps
gsm8k-test-1171,3160,3.36E+3,0,0,gsm8k-test-1171-c4,0,16,gsm8k-test-1171-c4,0,16
gsm8k-test-1175,16,8,0,0,gsm8k-test-1175-c0,0,10,gsm8k-test-1175-c0,0,10
gsm8k-test-1176,2,3,0,0,gsm8k-test-1176-c1,0,20,gsm8k-test-1176-c1,0,20
gsm8k-test-118,4,2E+1,0,1,gsm8k-test-118-c2,1,8,gsm8k-test-118-c2,1,8
gsm8k-test-1188,24,14,0,0,gsm8k-test-1188-c1,0,4,gsm8k-test-1188-c1,0,4
gsm8k-test-1192,280,107.5,0,1,gsm8k-test-1192-c2,0,12,gsm8k-test-1192-c2,0,12
gsm8k-test-1193,9,21,0,0,gsm8k-test-1193-c3,0,16,gsm8k-test-1193-c0,0,8
gsm8k-test-1196,75,75,1,1,gsm8k-test-1196-c1,1,14,gsm8k-test-1196-c3,1,10
gsm8k-test-1197,2400,2.4E+3,1,1,gsm8k-test-1197-c0,1,8,gsm8k-test-1197-c0,1,8
gsm8k-test-1211,448,448,1,1,gsm8k-test-1211-c4,0,7,gsm8k-test-1211-c4,0,7
gsm8k-test-1214,5,5,1,1,gsm8k-test-1214-c4,1,8,gsm8k-test-1214-c4,1,8
gsm8k-test-1221,10,27.5,0,0,gsm8k-test-1221-c1,0,13,gsm8k-test-1221-c0,0,3
gsm8k-test-1224,5,5,1,1,gsm8k-test-1224-c4,1,5,gsm8k-test-1224-c4,1,5
gsm8k-test-1225,3,3,1,1,gsm8k-test-1225-c4,1,11,gsm8k-test-1225-c4,1,11
gsm8k-test-1229,36,36,1,1,gsm8k-test-1229-c4,1,11,gsm8k-test-1229-c4,1,11
gsm8k-test-1232,15,15,1,1,gsm8k-test-1232-c1,0,7,gsm8k-test-1232-c1,0,7
gsm8k-test-1241,8,-139,0,1,gsm8k-test-1241-c2,1,15,gsm8k-test-1241-c2,1,15
gsm8k-test-1248,750,,0,0,gsm8k-test-1248-c1,0,7,gsm8k-test-1248-c1,0,7
gsm8k-test-1252,70,4E+1,0,1,gsm8k-test-1252-c3,0,7,gsm8k-test-1252-c3,0,7
gsm8k-test-1253,120,8.4E+2,0,1,gsm8k-test-1253-c4,0,10,gsm8k-test-1253-c4,0,10
gsm8k-test-1255,12,1E+1,0,1,gsm8k-test-1255-c4,0,18,gsm8k-test-1255-c2,0,11
gsm8k-test-1258,60,7E+1,0,0,gsm8k-test-1258-c3,0,7,gsm8k-test-1258-c3,0,7
gsm8k-test-1264,210,1.04E+3,0,0,gsm8k-test-1264-c4,0,12,gsm8k-test-1264-c3,0,20
gsm8k-test-1265,36,24,0,0,gsm8k-test-1265-c0,0,11,gsm8k-test-1265-c0,0,11
gsm8k-test-1295,2,3,0,1,gsm8k-test-1295-c4,0,13,gsm8k-test-1295-c0,0,11
gsm8k-test-1297,60,6E+1,1,1,gsm8k-test-1297-c3,0,11,gsm8k-test-1297-c3,0,11
gsm8k-test-1304,1000,1E+3,1,1,gsm8k-test-1304-c1,1,10,gsm8k-test-1304-c1,1,10
gsm8k-test-1306,2,2,1,1,gsm8k-test-1306-c4,0,21,gsm8k-test-1306-c2,0,17
gsm8k-test-1312,180,42,0,0,gsm8k-test-1312-c3,0,12,gsm8k-test-1312-c3,0,12
gsm8k-test-143,16,16.5,0,0,gsm8k-test-143-c0,0,7,gsm8k-test-143-c3,0,4
gsm8k-test-150,4,11.34,0,0,gsm8k-test-150-c3,0,13,gsm8k-test-150-c3,0,13
gsm8k-test-156,1400,1.4E+3,1,1,gsm8k-test-156-c1,0,11,gsm8k-test-156-c2,1,7
gsm8k-test-160,16,16,1,1,gsm8k-test-160-c4,1,6,gsm8k-test-160-c2,1,6
gsm8k-test-163,50,64,0,0,gsm8k-test-163-c1,0,15,gsm8k-test-163-c3,0,10
gsm8k-test-168,18,18,1,1,gsm8k-test-168-c0,1,5,gsm8k-test-168-c0,1,5
gsm8k-test-174,95,19,0,0,gsm8k-test-174-c2,0,16,gsm8k-test-174-c0,0,11
gsm8k-test-178,122,122,1,1,gsm8k-test-178-c1,1,11,gsm8k-test-178-c1,1,11
gsm8k-test-180,20,2E+1,1,1,gsm8k-test-180-c4,1,5,gsm8k-test-180-c4,1,5
gsm8k-test-185,30,3E+1,1,1,gsm8k-test-185-c1,1,7,gsm8k-test-185-c2,1,6
gsm8k-test-186,5,26,0,0,gsm8k-test-186-c4,0,23,gsm8k-test-186-c3,0,12
gsm8k-test-191,5,5,1,1,gsm8k-test-191-c0,1,9,gsm8k-test-191-c1,1,5
gsm8k-test-194,10,1E+1,1,1,gsm8k-test-194-c0,0,7,gsm8k-test-194-c1,1,7
gsm8k-test-200,55,55,1,1,gsm8k-test-200-c2,1,9,gsm8k-test-200-c2,1,9
gsm8k-test-204,98,108,0,1,gsm8k-test-204-c4,1,11,gsm8k-test-204-c1,0,9
gsm8k-test-207,2600,2.6E+3,1,1,gsm8k-test-207-c4,1,16,gsm8k-test-207-c4,1,16
gsm8k-test-213,250,2.5E+2,1,1,gsm8k-test-213-c3,1,12,gsm8k-test-213-c3,1,12
gsm8k-test-229,21,0,0,1,gsm8k-test-229-c2,0,15,gsm8k-test-229-c2,0,15
gsm8k-test-242,3,16,0,0,gsm8k-test-242-c1,0,10,gsm8k-test-242-c1,0,10
gsm8k-test-253,18,18,1,1,gsm8k-test-253-c4,0,8,gsm8k-test-253-c4,0,8
gsm8k-test-255,192,32,0,0,gsm8k-test-255-c2,0,10,gsm8k-test-255-c2,0,10
gsm8k-test-266,118000,3.68E+5,0,0,gsm8k-test-266-c1,0,14,gsm8k-test-266-c4,0,14
gsm8k-test-267,91,23,0,0,gsm8k-test-267-c0,0,9,gsm8k-test-267-c0,0,9
gsm8k-test-274,3200,3.2E+3,1,1,gsm8k-test-274-c0,1,14,gsm8k-test-274-c4,1,16
gsm8k-test-276,9,9,1,1,gsm8k-test-276-c3,1,13,gsm8k-test-276-c3,1,13
gsm8k-test-277,4,4,1,1,gsm8k-test-277-c4,1,8,gsm8k-test-277-c4,1,8
gsm8k-test-283,68,1E+2,0,0,gsm8k-test-283-c1,0,13,gsm8k-test-283-c1,0,13
gsm8k-test-292,75,75,1,1,gsm8k-test-292-c2,0,12,gsm8k-test-292-c1,0,11
gsm8k-test-294,3,0,0,0,gsm8k-test-294-c4,0,15,gsm8k-test-294-c3,0,7
gsm8k-test-299,31800,3.015E+4,0,0,gsm8k-test-299-c1,0,15,gsm8k-test-299-c1,0,15
gsm8k-test-301,8,32,0,0,gsm8k-test-301-c3,0,10,gsm8k-test-301-c3,0,10
gsm8k-test-307,16,4,0,0,gsm8k-test-307-c0,0,5,gsm8k-test-307-c0,0,5
gsm8k-test-313,120000,1.56E+5,0,0,gsm8k-test-313-c1,0,18,gsm8k-test-313-c1,0,18
gsm8k-test-324,14,35,0,0,gsm8k-test-324-c2,0,26,gsm8k-test-324-c1,0,12
gsm8k-test-334,6,6,1,1,gsm8k-test-334-c1,1,8,gsm8k-test-334-c4,1,6
gsm8k-test-335,310,,0,0,gsm8k-test-335-c3,0,6,gsm8k-test-335-c3,0,6
gsm8k-test-350,8,7,0,1,gsm8k-test-350-c1,0,13,gsm8k-test-350-c3,0,10
gsm8k-test-352,21,29,0,1,gsm8k-test-352-c3,0,9,gsm8k-test-352-c3,0,9
gsm8k-test-355,34,34,1,1,gsm8k-test-355-c3,1,8,gsm8k-test-355-c4,1,7
gsm8k-test-356,21,-1E+1,0,1,gsm8k-test-356-c4,1,13,gsm8k-test-356-c4,1,13
gsm8k-test-359,4,55,0,0,gsm8k-test-359-c2,0,14,gsm8k-test-359-c3,0,14
gsm8k-test-363,6,6.14,0,0,gsm8k-test-363-c3,0,13,gsm8k-test-363-c3,0,13
gsm8k-test-378,15,15,1,1,gsm8k-test-378-c3,1,8,gsm8k-test-378-c2,0,8
gsm8k-test-384,32,21.33,0,1,gsm8k-test-384-c2,0,19,gsm8k-test-384-c4,0,12
gsm8k-test-398,168,168,1,1,gsm8k-test-398-c2,1,8,gsm8k-test-398-c2,1,8
gsm8k-test-402,4,3,0,0,gsm8k-test-402-c2,0,18,gsm8k-test-402-c4,0,10
gsm8k-test-410,3,-3,0,0,gsm8k-test-410-c1,0,12,gsm8k-test-410-c3,0,8
gsm8k-test-411,1110,1.29E+3,0,0,gsm8k-test-411-c2,0,12,gsm8k-test-411-c2,0,12
gsm8k-test-413,25,1.8E+2,0,0,gsm8k-test-413-c0,0,21,gsm8k-test-413-c2,0,13
gsm8k-test-414,56,114.28,0,1,gsm8k-test-414-c4,0,9,gsm8k-test-414-c4,0,9
gsm8k-test-421,12,12,1,1,gsm8k-test-421-c3,1,8,gsm8k-test-421-c3,1,8
gsm8k-test-434,5,0,0,0,gsm8k-test-434-c1,0,20,gsm8k-test-434-c3,0,18
gsm8k-test-435,5,5,1,1,gsm8k-test-435-c3,1,8,gsm8k-test-435-c3,1,8
gsm8k-test-442,49,-5,0,1,gsm8k-test-442-c0,0,12,gsm8k-test-442-c0,0,12
gsm8k-test-449,112,112,1,1,gsm8k-test-449-c2,1,12,gsm8k-test-449-c2,1,12
gsm8k-test-457,45,45,1,1,gsm8k-test-457-c3,1,5,gsm8k-test-457-c3,1,5
gsm8k-test-458,35,35,1,1,gsm8k-test-458-c3,1,7,gsm8k-test-458-c0,0,12
gsm8k-test-465,30,3E+1,1,1,gsm8k-test-465-c2,0,16,gsm8k-test-465-c2,0,16
gsm8k-test-468,120,95,0,0,gsm8k-test-468-c0,0,17,gsm8k-test-468-c4,0,13
gsm8k-test-474,80,8E+1,1,1,gsm8k-test-474-c2,0,8,gsm8k-test-474-c2,0,8
gsm8k-test-475,20,72,0,0,gsm8k-test-475-c3,0,12,gsm8k-test-475-c3,0,12
gsm8k-test-478,621,621,1,1,gsm8k-test-478-c0,0,8,gsm8k-test-478-c0,0,8
gsm8k-test-489,-10,-6.67,0,1,gsm8k-test-489-c0,1,12,gsm8k-test-489-c0,1,12
gsm8k-test-507,2,57,0,0,gsm8k-test-507-c1,0,12,gsm8k-test-507-c1,0,12
gsm8k-test-511,110,1.1E+2,1,1,gsm8k-test-511-c0,0,9,gsm8k-test-511-c2,1,8
gsm8k-test-528,172,146,0,0,gsm8k-test-528-c2,0,9,gsm8k-test-528-c2,0,9
gsm8k-test-534,300,9.6E+2,0,0,gsm8k-test-534-c2,0,17,gsm8k-test-534-c2,0,17
gsm8k-test-545,30,3E+1,1,1,gsm8k-test-545-c3,0,6,gsm8k-test-545-c3,0,6
gsm8k-test-549,398,398,1,1,gsm8k-test-549-c2,1,11,gsm8k-test-549-c1,0,6
gsm8k-test-565,5,5,1,1,gsm8k-test-565-c4,1,10,gsm8k-test-565-c4,1,10
gsm8k-test-586,800,8E+2,1,1,gsm8k-test-586-c1,1,10,gsm8k-test-586-c1,1,10
gsm8k-test-587,30,3E+1,1,1,gsm8k-test-587-c3,1,26,gsm8k-test-587-c0,1,18
gsm8k-test-590,319,308,0,0,gsm8k-test-590-c3,0,10,gsm8k-test-590-c3,0,10
gsm8k-test-596,260,2.6E+2,1,1,gsm8k-test-596-c4,0,14,gsm8k-test-596-c0,1,18
gsm8k-test-601,104,84,0,0,gsm8k-test-601-c1,0,25,gsm8k-test-601-c1,0,25
gsm8k-test-603,1800,1.26E+3,0,0,gsm8k-test-603-c4,0,14,gsm8k-test-603-c1,0,8
gsm8k-test-612,30,14,0,1,gsm8k-test-612-c2,1,19,gsm8k-test-612-c3,0,15
gsm8k-test-616,10,24,0,0,gsm8k-test-616-c0,0,8,gsm8k-test-616-c2,0,6
gsm8k-test-631,4800,4.8E+3,1,1,gsm8k-test-631-c2,1,12,gsm8k-test-631-c2,1,12
gsm8k-test-632,45,45,1,1,gsm8k-test-632-c3,1,15,gsm8k-test-632-c0,1,8
gsm8k-test-636,1050,525,0,1,gsm8k-test-636-c4,0,12,gsm8k-test-636-c1,0,12
gsm8k-test-639,216,216,1,1,gsm8k-test-639-c4,1,8,gsm8k-test-639-c4,1,8
gsm8k-test-641,262500,2.31E+4,0,0,gsm8k-test-641-c0,0,21,gsm8k-test-641-c1,0,11
gsm8k-test-645,48,6,0,1,gsm8k-test-645-c2,0,7,gsm8k-test-645-c3,0,7
gsm8k-test-649,162000,1.42E+5,0,1,gsm8k-test-649-c1,0,6,gsm8k-test-649-c1,0,6
gsm8k-test-652,75,225,0,0,gsm8k-test-652-c3,0,18,gsm8k-test-652-c2,0,11
gsm8k-test-656,10,2E+1,0,0,gsm8k-test-656-c4,0,11,gsm8k-test-656-c4,0,11
gsm8k-test-661,44,44,1,1,gsm8k-test-661-c4,0,16,gsm8k-test-661-c2,1,16
gsm8k-test-683,50,6E+1,0,0,gsm8k-test-683-c2,0,12,gsm8k-test-683-c3,0,8
gsm8k-test-685,14,14,1,1,gsm8k-test-685-c0,1,9,gsm8k-test-685-c0,1,9
gsm8k-test-691,25,1E+1,0,0,gsm8k-test-691-c2,0,16,gsm8k-test-691-c0,0,12
gsm8k-test-697,27,108,0,1,gsm8k-test-697-c0,0,16,gsm8k-test-697-c0,0,16
gsm8k-test-703,50,27,0,1,gsm8k-test-703-c1,0,12,gsm8k-test-703-c1,0,12
gsm8k-test-707,8,6E+1,0,0,gsm8k-test-707-c0,0,10,gsm8k-test-707-c0,0,10
gsm8k-test-708,168,168,1,1,gsm8k-test-708-c2,1,8,gsm8k-test-708-c2,1,8
gsm8k-test-710,45,36,0,1,gsm8k-test-710-c0,1,9,gsm8k-test-710-c3,0,8
gsm8k-test-711,6,4,0,0,gsm8k-test-711-c3,0,5,gsm8k-test-711-c3,0,5
gsm8k-test-715,385000,4.235E+5,0,1,gsm8k-test-715-c1,0,12,gsm8k-test-715-c3,0,7
gsm8k-test-719,175,175,1,1,gsm8k-test-719-c0,1,11,gsm8k-test-719-c2,1,9
gsm8k-test-721,2450,1.65E+3,0,0,gsm8k-test-721-c4,0,16,gsm8k-test-721-c1,0,16
gsm8k-test-722,255,375,0,0,gsm8k-test-722-c4,0,13,gsm8k-test-722-c4,0,13
gsm8k-test-724,18,0,0,0,gsm8k-test-724-c0,0,16,gsm8k-test-724-c0,0,16
gsm8k-test-730,8,8,1,1,gsm8k-test-730-c2,0,7,gsm8k-test-730-c2,0,7
gsm8k-test-741,28,28,1,1,gsm8k-test-741-c2,1,9,gsm8k-test-741-c2,1,9
gsm8k-test-742,24,24,1,1,gsm8k-test-742-c1,0,10,gsm8k-test-742-c1,0,10
gsm8k-test-748,336,336,1,1,gsm8k-test-748-c4,0,12,gsm8k-test-748-c4,0,12
gsm8k-test-752,240,33.33,0,0,gsm8k-test-752-c2,0,8,gsm8k-test-752-c4,0,6
gsm8k-test-753,128,128,1,1,gsm8k-test-753-c2,1,15,gsm8k-test-753-c2,1,15
gsm8k-test-770,4,3,0,1,gsm8k-test-770-c2,1,7,gsm8k-test-770-c2,1,7
gsm8k-test-787,25,25,1,1,gsm8k-test-787-c3,1,6,gsm8k-test-787-c3,1,6
gsm8k-test-797,540,3.9E+2,0,0,gsm8k-test-797-c4,0,7,gsm8k-test-797-c4,0,7
gsm8k-test-802,6,5,0,0,gsm8k-test-802-c4,0,11,gsm8k-test-802-c4,0,11
gsm8k-test-809,50,5E+1,1,1,gsm8k-test-809-c0,0,6,gsm8k-test-809-c0,0,6
gsm8k-test-838,15,15,1,1,gsm8k-test-838-c2,1,14,gsm8k-test-838-c0,1,12
gsm8k-test-839,2,25,0,0,gsm8k-test-839-c2,0,9,gsm8k-test-839-c1,0,7
gsm8k-test-851,110,1.1E+2,1,1,gsm8k-test-851-c1,1,17,gsm8k-test-851-c3,1,9
gsm8k-test-854,144,1.2E+2,0,1,gsm8k-test-854-c0,1,11,gsm8k-test-854-c0,1,11
gsm8k-test-856,7,56,0,1,gsm8k-test-856-c3,1,19,gsm8k-test-856-c0,0,15
gsm8k-test-863,110,1.1E+2,1,1,gsm8k-test-863-c0,1,9,gsm8k-test-863-c0,1,9
gsm8k-test-868,15,15,1,1,gsm8k-test-868-c2,1,9,gsm8k-test-868-c2,1,9
gsm8k-test-875,60,6E+1,1,1,gsm8k-test-875-c1,1,8,gsm8k-test-875-c2,1,11
gsm8k-test-888,10,6,0,0,gsm8k-test-888-c2,0,8,gsm8k-test-888-c2,0,8
gsm8k-test-892,1,2.5,0,1,gsm8k-test-892-c4,0,11,gsm8k-test-892-c4,0,11
gsm8k-test-897,1,1,1,1,gsm8k-test-897-c0,1,15,gsm8k-test-897-c4,0,10
gsm8k-test-903,16,,0,0,gsm8k-test-903-c2,0,12,gsm8k-test-903-c2,0,12
gsm8k-test-906,10,1E+1,1,1,gsm8k-test-906-c2,1,16,gsm8k-test-906-c2,1,16
gsm8k-test-936,250,8.6E+2,0,0,gsm8k-test-936-c4,0,12,gsm8k-test-936-c0,0,14
gsm8k-test-940,280,35,0,0,gsm8k-test-940-c3,0,6,gsm8k-test-940-c3,0,6
gsm8k-test-943,50,-1.1E+2,0,0,gsm8k-test-943-c1,0,7,gsm8k-test-943-c1,0,7
gsm8k-test-944,34,34,1,1,gsm8k-test-944-c3,1,21,gsm8k-test-944-c2,1,6
gsm8k-test-958,40,6E+1,0,0,gsm8k-test-958-c4,0,7,gsm8k-test-958-c4,0,7
gsm8k-test-969,1800,1.05E+3,0,0,gsm8k-test-969-c2,0,7,gsm8k-test-969-c2,0,7
gsm8k-test-971,100,1E+2,1,1,gsm8k-test-971-c0,1,7,gsm8k-test-971-c0,1,7
gsm8k-test-976,540,255,0,0,gsm8k-test-976-c4,0,23,gsm8k-test-976-c1,0,19
gsm8k-test-981,7,7,1,1,gsm8k-test-981-c0,1,9,gsm8k-test-981-c0,1,9
gsm8k-test-984,342,366,0,0,gsm8k-test-984-c1,0,14,gsm8k-test-984-c4,0,10
gsm8k-test-987,3,0,0,1,gsm8k-test-987-c1,1,11,gsm8k-test-987-c1,1,11
gsm8k-test-994,2,2,1,1,gsm8k-test-994-c4,1,8,gsm8k-test-994-c4,1,8
